hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-11-17 10:00:00,324,346.49787538676844,273.78,-22.497875386768442,50.22000000000003
2017-11-17 11:00:00,402,327.99586326621863,300.46,74.00413673378137,101.54000000000002
2017-11-17 12:00:00,522,365.6224162598145,404.8666666666667,156.37758374018551,117.13333333333333
2017-11-17 13:00:00,500,384.20613050630675,409.66333333333336,115.79386949369325,90.33666666666664
2017-11-17 14:00:00,499,375.39390157932564,393.7733333333333,123.60609842067436,105.22666666666669
2017-11-17 15:00:00,637,392.3276187937163,432.5233333333333,244.67238120628372,204.4766666666667
2017-11-17 16:00:00,786,357.2396041595556,673.6266666666667,428.7603958404444,112.37333333333333
2017-11-17 17:00:00,1075,323.3608410110379,1033.5033333333333,751.6391589889621,41.49666666666667
2017-11-17 18:00:00,746,251.37318723604994,850.33,494.62681276395006,-104.33000000000004
2017-11-17 19:00:00,453,208.01573870099025,425.33666666666664,244.98426129900975,27.663333333333355
2017-11-17 20:00:00,255,280.5543611621491,219.07333333333332,-25.55436116214912,35.92666666666668
2017-11-17 21:00:00,213,271.6579768647067,176.38333333333333,-58.65797686470671,36.616666666666674
2017-11-17 22:00:00,169,299.55263411022247,182.22333333333333,-130.55263411022247,-13.22333333333333
2017-11-17 23:00:00,122,318.60977254792533,104.90666666666667,-196.60977254792533,17.093333333333334
2017-11-18 00:00:00,115,-126.51632057731643,70.37666666666667,241.51632057731643,44.623333333333335
2017-11-18 01:00:00,66,-96.3444089814042,37.13333333333333,162.3444089814042,28.866666666666667
2017-11-18 02:00:00,45,-102.3121788899964,36.013333333333335,147.3121788899964,8.986666666666665
2017-11-18 03:00:00,15,-56.13437137788344,17.27,71.13437137788344,-2.2699999999999996
2017-11-18 04:00:00,8,-12.694912065253277,7.676666666666667,20.694912065253277,0.32333333333333325
2017-11-18 05:00:00,11,45.922331439774666,10.366666666666667,-34.922331439774666,0.6333333333333329
2017-11-18 06:00:00,36,105.49284811637926,29.023333333333333,-69.49284811637926,6.976666666666667
2017-11-18 07:00:00,127,181.411709801367,83.99,-54.41170980136701,43.010000000000005
2017-11-18 08:00:00,250,284.4601144614419,199.02,-34.46011446144189,50.97999999999999
2017-11-18 09:00:00,382,307.8825429185964,465.37666666666667,74.11745708140359,-83.37666666666667
2017-11-18 10:00:00,538,449.22889196967424,532.7933333333333,88.77110803032576,5.206666666666706
2017-11-18 11:00:00,622,405.9101217928096,583.0433333333333,216.0898782071904,38.956666666666706
2017-11-18 12:00:00,731,590.7538954721181,1012.0933333333334,140.24610452788193,-281.09333333333336
2017-11-18 13:00:00,783,568.1357848896602,920.5233333333333,214.86421511033984,-137.5233333333333
2017-11-18 14:00:00,722,557.8395281514106,863.4833333333333,164.1604718485894,-141.48333333333335
2017-11-18 15:00:00,606,418.3507828207066,554.5833333333334,187.64921717929337,51.41666666666663
2017-11-18 16:00:00,570,438.54302422908825,612.63,131.45697577091175,-42.629999999999995
2017-11-18 17:00:00,555,486.639254069769,624.24,68.36074593023102,-69.24000000000001
2017-11-18 18:00:00,376,584.5297701647175,551.25,-208.52977016471755,-175.25
2017-11-18 19:00:00,348,575.5515261611391,489.50333333333333,-227.55152616113912,-141.50333333333333
2017-11-18 20:00:00,268,677.3936641694121,385.04,-409.3936641694121,-117.04000000000002
2017-11-18 21:00:00,193,815.6550677490119,334.62333333333333,-622.6550677490119,-141.62333333333333
2017-11-18 22:00:00,176,765.4435060474497,272.63,-589.4435060474497,-96.63
2017-11-18 23:00:00,212,758.9327332991176,224.44666666666666,-546.9327332991176,-12.446666666666658
